play_algorithm,learning_algorithm,alpha,gamma,epsilon,learning_episodes,avg_reward,agent
greedy,epsilon-greedy,0.1,0.9,0.0,10000,-142.01,sarsa
greedy,epsilon-greedy,0.1,0.9,0.0,10000,-146.41,expected_sarsa
greedy,epsilon-greedy,0.1,0.9,0.1,10000,-170.27,sarsa
greedy,epsilon-greedy,0.1,0.9,0.1,10000,-181.0,expected_sarsa
greedy,epsilon-greedy,0.1,0.9,0.2,10000,-163.19,sarsa
greedy,epsilon-greedy,0.1,0.9,0.2,10000,-166.4,expected_sarsa
greedy,epsilon-greedy,0.1,0.9,0.30000000000000004,10000,-163.15,sarsa
greedy,epsilon-greedy,0.1,0.9,0.30000000000000004,10000,-161.4,expected_sarsa
greedy,epsilon-greedy,0.1,0.9,0.4,10000,-177.37,sarsa
greedy,epsilon-greedy,0.1,0.9,0.4,10000,-179.43,expected_sarsa
greedy,epsilon-greedy,0.1,0.9,0.5,10000,-164.36,sarsa
greedy,epsilon-greedy,0.1,0.9,0.5,10000,-162.27,expected_sarsa
greedy,epsilon-greedy,0.1,0.9,0.6000000000000001,10000,-180.83,sarsa
greedy,epsilon-greedy,0.1,0.9,0.6000000000000001,10000,-177.23,expected_sarsa
greedy,epsilon-greedy,0.1,0.9,0.7000000000000001,10000,-187.2,sarsa
greedy,epsilon-greedy,0.1,0.9,0.7000000000000001,10000,-190.15,expected_sarsa
greedy,epsilon-greedy,0.1,0.9,0.8,10000,-196.91,sarsa
greedy,epsilon-greedy,0.1,0.9,0.8,10000,-194.09,expected_sarsa
greedy,epsilon-greedy,0.1,0.9,0.9,10000,-198.59,sarsa
greedy,epsilon-greedy,0.1,0.9,0.9,10000,-199.5,expected_sarsa
greedy,epsilon-greedy,0.1,0.9,1.0,10000,-200.0,sarsa
greedy,epsilon-greedy,0.1,0.9,1.0,10000,-200.0,expected_sarsa
